Junction,Left_Speed,Left_Comment,Right_Speed,Right_Comment,Date,Time,Day_of_Week,Stratum
J21-J20,68 mph,No comment,68 mph,No comment,20.07.24,05:35:49,Saturday,Off
J20-J19,64 mph,No comment,62 mph,Unconfirmed Roadworks,20.07.24,05:35:59,Saturday,Off
J19-J18,54 mph,Unconfirmed Roadworks,52 mph,"Unconfirmed Roadworks, Unconfirmed Roadworks, Unconfirmed Roadworks, Unconfirmed Roadworks",20.07.24,05:35:59,Saturday,Off
J18-J17,49 mph,Unconfirmed Roadworks,52 mph,Unconfirmed Roadworks,20.07.24,05:35:59,Saturday,Off
J17-J16,49 mph,No comment,51 mph,Unconfirmed Roadworks,20.07.24,05:36:09,Saturday,Off
J16-J15A,51 mph,No comment,63 mph,No comment,20.07.24,05:36:29,Saturday,Off
J15A-J15,66 mph,No comment,66 mph,No comment,20.07.24,05:36:49,Saturday,Off
J15-J14,67 mph,No comment,66 mph,No comment,20.07.24,05:37:09,Saturday,Off
J14-J13,62 mph,No comment,60 mph,Unconfirmed Roadworks,20.07.24,05:37:20,Saturday,Off
J13-J12,51 mph,No comment,49 mph,Unconfirmed Roadworks,20.07.24,05:37:30,Saturday,Off
J12-J11A,52 mph,No comment,50 mph,"Unconfirmed Roadworks, Unconfirmed Roadworks",20.07.24,05:37:40,Saturday,Off
J11A-J11,53 mph,Roadworks,50 mph,"Unconfirmed Roadworks, Roadworks",20.07.24,05:37:40,Saturday,Off
J11-J10,52 mph,Roadworks,51 mph,"Unconfirmed Roadworks, Roadworks",20.07.24,05:37:40,Saturday,Off
J10-J9,60 mph,"Roadworks, Unconfirmed Roadworks",64 mph,"Roadworks, Unconfirmed Roadworks",20.07.24,05:37:40,Saturday,Off
J9-J8,61 mph,Unconfirmed Roadworks,63 mph,Roadworks,20.07.24,05:37:40,Saturday,Off
J8-J7,54 mph,No comment,52 mph,No comment,20.07.24,05:38:00,Saturday,Off
J7-J6A,64 mph,No comment,58 mph,No comment,20.07.24,05:38:20,Saturday,Off
J6A-J6,60 mph,No comment,70 mph,Unconfirmed Roadworks,20.07.24,05:38:30,Saturday,Off
J6-J5,61 mph,Unconfirmed Roadworks,67 mph,Unconfirmed Roadworks,20.07.24,05:38:30,Saturday,Off
J5-J4,64 mph,No comment,63 mph,No comment,20.07.24,05:38:50,Saturday,Off
J4-J2,70 mph,No comment,69 mph,No comment,20.07.24,05:39:10,Saturday,Off
J2-J1,70 mph,No comment,58 mph,Unconfirmed Roadworks,20.07.24,05:39:20,Saturday,Off
J48-J47,58 mph,Unconfirmed Roadworks,51 mph,Unconfirmed Roadworks,20.07.24,09:30:10,Saturday,Morning
J47-J46,48 mph,Unconfirmed Roadworks,48 mph,Unconfirmed Roadworks,20.07.24,09:30:10,Saturday,Morning
J46-J45,49 mph,Unconfirmed Roadworks,58 mph,Unconfirmed Roadworks,20.07.24,09:30:10,Saturday,Morning
J45-J43|44,63 mph,No comment,67 mph,No comment,20.07.24,09:30:30,Saturday,Morning
J43|44-J42,68 mph,No comment,66 mph,No comment,20.07.24,09:30:50,Saturday,Morning
J42-J41,68 mph,No comment,70 mph,No comment,20.07.24,09:31:11,Saturday,Morning
J41-J40,68 mph,No comment,68 mph,No comment,20.07.24,09:31:31,Saturday,Morning
J40-J39,69 mph,No comment,66 mph,No comment,20.07.24,09:31:51,Saturday,Morning
J39-J38,70 mph,No comment,68 mph,No comment,20.07.24,09:32:11,Saturday,Morning
J38-J37,70 mph,No comment,69 mph,No comment,20.07.24,09:32:31,Saturday,Morning
J37-J36,70 mph,No comment,70 mph,No comment,20.07.24,09:32:51,Saturday,Morning
J36-J35A,70 mph,Unconfirmed Roadworks,69 mph,No comment,20.07.24,09:33:01,Saturday,Morning
J35A-J35,60 mph,No comment,49 mph,No comment,20.07.24,09:33:21,Saturday,Morning
J35-J34,49 mph,"Unconfirmed Roadworks, Unconfirmed Roadworks",48 mph,Unconfirmed Roadworks,20.07.24,09:33:21,Saturday,Morning
J34-J33,48 mph,"Unconfirmed Roadworks, Unconfirmed Roadworks, Unconfirmed Roadworks, Unconfirmed Roadworks",48 mph,"Unconfirmed Roadworks, Unconfirmed Roadworks, Unconfirmed Roadworks",20.07.24,09:33:21,Saturday,Morning
J33-J32,51 mph,"Unconfirmed Roadworks, Unconfirmed Roadworks",55 mph,"Unconfirmed Roadworks, Unconfirmed Roadworks",20.07.24,09:33:21,Saturday,Morning
J32-J31,63 mph,Unconfirmed Roadworks,51 mph,Unconfirmed Roadworks,20.07.24,09:33:22,Saturday,Morning
J31-J30,50 mph,No comment,49 mph,"Unconfirmed Roadworks, Unconfirmed Roadworks, Unconfirmed Roadworks",20.07.24,09:33:32,Saturday,Morning
J30-J29A,48 mph,Unconfirmed Roadworks,49 mph,"Unconfirmed Roadworks, Unconfirmed Roadworks",20.07.24,09:33:32,Saturday,Morning
J29A-J29,49 mph,Unconfirmed Roadworks,49 mph,No comment,20.07.24,09:33:42,Saturday,Morning
J29-J28,49 mph,Unconfirmed Roadworks,49 mph,Unconfirmed Roadworks,20.07.24,09:33:42,Saturday,Morning
J28-J27,62 mph,Unconfirmed Roadworks,64 mph,No comment,20.07.24,09:33:52,Saturday,Morning
J27-J26,70 mph,No comment,70 mph,No comment,20.07.24,09:34:12,Saturday,Morning
J26-J25,66 mph,No comment,61 mph,No comment,20.07.24,09:34:32,Saturday,Morning
J25-J24A,55 mph,Unconfirmed Roadworks,49 mph,No comment,20.07.24,09:34:42,Saturday,Morning
J24A-J24,56 mph,Unconfirmed Roadworks,49 mph,No comment,20.07.24,09:34:52,Saturday,Morning
J24-J23A,67 mph,No comment,58 mph,No comment,20.07.24,09:35:12,Saturday,Morning
J23A-J23,69 mph,Unconfirmed Roadworks,70 mph,No comment,20.07.24,09:35:22,Saturday,Morning
J23-J22,70 mph,No comment,67 mph,No comment,20.07.24,09:35:43,Saturday,Morning
J22-J21A,70 mph,Unconfirmed Roadworks,70 mph,Unconfirmed Roadworks,20.07.24,09:35:43,Saturday,Morning
J21A-J21,68 mph,No comment,65 mph,No comment,20.07.24,09:36:03,Saturday,Morning
J21-J20,70 mph,No comment,70 mph,No comment,20.07.24,09:36:23,Saturday,Morning
J20-J19,70 mph,No comment,66 mph,Unconfirmed Roadworks,20.07.24,09:36:33,Saturday,Morning
J19-J18,54 mph,No comment,49 mph,"Unconfirmed Roadworks, Unconfirmed Roadworks, Unconfirmed Roadworks, Unconfirmed Roadworks",20.07.24,09:36:43,Saturday,Morning
J18-J17,49 mph,No comment,49 mph,Unconfirmed Roadworks,20.07.24,09:36:53,Saturday,Morning
J17-J16,48 mph,No comment,49 mph,Unconfirmed Roadworks,20.07.24,09:37:03,Saturday,Morning
J16-J15A,62 mph,No comment,54 mph,No comment,20.07.24,09:37:23,Saturday,Morning
J15A-J15,65 mph,No comment,57 mph,No comment,20.07.24,09:37:43,Saturday,Morning
J15-J14,66 mph,No comment,63 mph,No comment,20.07.24,09:38:04,Saturday,Morning
J14-J13,64 mph,No comment,60 mph,"Unconfirmed Roadworks, Unconfirmed Roadworks, Unconfirmed Roadworks",20.07.24,09:38:14,Saturday,Morning
J13-J12,49 mph,No comment,49 mph,"Unconfirmed Roadworks, Unconfirmed Roadworks, Unconfirmed Roadworks",20.07.24,09:38:24,Saturday,Morning
J12-J11A,48 mph,No comment,48 mph,"Unconfirmed Roadworks, Unconfirmed Roadworks, Unconfirmed Roadworks, Unconfirmed Roadworks, Unconfirmed Roadworks",20.07.24,09:38:34,Saturday,Morning
J11A-J11,47 mph,Roadworks,48 mph,"Unconfirmed Roadworks, Unconfirmed Roadworks, Roadworks",20.07.24,09:38:34,Saturday,Morning
J11-J10,48 mph,Roadworks,49 mph,"Unconfirmed Roadworks, Roadworks, Unconfirmed Roadworks",20.07.24,09:38:34,Saturday,Morning
J10-J9,62 mph,"Roadworks, Unconfirmed Roadworks",66 mph,Roadworks,20.07.24,09:38:34,Saturday,Morning
J9-J8,67 mph,Unconfirmed Roadworks,65 mph,Roadworks,20.07.24,09:38:34,Saturday,Morning
J8-J7,57 mph,No comment,56 mph,No comment,20.07.24,09:38:54,Saturday,Morning
J7-J6A,65 mph,No comment,61 mph,No comment,20.07.24,09:39:14,Saturday,Morning
J6A-J6,69 mph,No comment,69 mph,No comment,20.07.24,09:39:34,Saturday,Morning
J6-J5,70 mph,No comment,65 mph,No comment,20.07.24,09:39:55,Saturday,Morning
J5-J4,68 mph,No comment,68 mph,No comment,20.07.24,09:40:15,Saturday,Morning
J4-J2,68 mph,No comment,66 mph,No comment,20.07.24,09:40:35,Saturday,Morning
J2-J1,60 mph,No comment,63 mph,No comment,20.07.24,09:40:55,Saturday,Morning
J48-J47,57 mph,Unconfirmed Roadworks,51 mph,Unconfirmed Roadworks,20.07.24,10:30:06,Saturday,Inter
J47-J46,49 mph,Unconfirmed Roadworks,48 mph,Unconfirmed Roadworks,20.07.24,10:30:06,Saturday,Inter
J46-J45,48 mph,Unconfirmed Roadworks,60 mph,Unconfirmed Roadworks,20.07.24,10:30:06,Saturday,Inter
J45-J43|44,63 mph,No comment,65 mph,No comment,20.07.24,10:30:27,Saturday,Inter
J43|44-J42,65 mph,No comment,63 mph,No comment,20.07.24,10:30:47,Saturday,Inter
J42-J41,68 mph,No comment,68 mph,No comment,20.07.24,10:31:07,Saturday,Inter
J41-J40,68 mph,No comment,70 mph,No comment,20.07.24,10:31:27,Saturday,Inter
J40-J39,68 mph,No comment,69 mph,No comment,20.07.24,10:31:47,Saturday,Inter
J39-J38,70 mph,No comment,70 mph,No comment,20.07.24,10:32:07,Saturday,Inter
J38-J37,70 mph,No comment,70 mph,No comment,20.07.24,10:32:27,Saturday,Inter
J37-J36,70 mph,No comment,68 mph,No comment,20.07.24,10:32:47,Saturday,Inter
J36-J35A,70 mph,Unconfirmed Roadworks,64 mph,No comment,20.07.24,10:32:58,Saturday,Inter
J35A-J35,62 mph,No comment,51 mph,No comment,20.07.24,10:33:18,Saturday,Inter
J35-J34,49 mph,"Unconfirmed Roadworks, Unconfirmed Roadworks",48 mph,Unconfirmed Roadworks,20.07.24,10:33:18,Saturday,Inter
J34-J33,48 mph,"Unconfirmed Roadworks, Unconfirmed Roadworks, Unconfirmed Roadworks, Unconfirmed Roadworks",47 mph,"Unconfirmed Roadworks, Unconfirmed Roadworks, Unconfirmed Roadworks",20.07.24,10:33:18,Saturday,Inter
J33-J32,49 mph,"Unconfirmed Roadworks, Unconfirmed Roadworks",53 mph,"Unconfirmed Roadworks, Unconfirmed Roadworks",20.07.24,10:33:18,Saturday,Inter
J32-J31,61 mph,Unconfirmed Roadworks,50 mph,Unconfirmed Roadworks,20.07.24,10:33:18,Saturday,Inter
J31-J30,50 mph,No comment,48 mph,"Unconfirmed Roadworks, Unconfirmed Roadworks, Unconfirmed Roadworks",20.07.24,10:33:28,Saturday,Inter
J30-J29A,48 mph,Unconfirmed Roadworks,49 mph,"Unconfirmed Roadworks, Unconfirmed Roadworks",20.07.24,10:33:28,Saturday,Inter
J29A-J29,48 mph,Unconfirmed Roadworks,48 mph,No comment,20.07.24,10:33:38,Saturday,Inter
J29-J28,49 mph,Unconfirmed Roadworks,49 mph,Unconfirmed Roadworks,20.07.24,10:33:38,Saturday,Inter
J28-J27,62 mph,Unconfirmed Roadworks,66 mph,No comment,20.07.24,10:33:48,Saturday,Inter
J27-J26,68 mph,No comment,69 mph,No comment,20.07.24,10:34:09,Saturday,Inter
J26-J25,65 mph,No comment,60 mph,No comment,20.07.24,10:34:29,Saturday,Inter
J25-J24A,50 mph,Unconfirmed Roadworks,49 mph,No comment,20.07.24,10:34:39,Saturday,Inter
J24A-J24,57 mph,Unconfirmed Roadworks,49 mph,No comment,20.07.24,10:34:49,Saturday,Inter
J24-J23A,68 mph,No comment,57 mph,No comment,20.07.24,10:35:09,Saturday,Inter
J23A-J23,68 mph,Unconfirmed Roadworks,65 mph,No comment,20.07.24,10:35:19,Saturday,Inter
J23-J22,70 mph,No comment,70 mph,No comment,20.07.24,10:35:39,Saturday,Inter
J22-J21A,70 mph,Unconfirmed Roadworks,66 mph,Unconfirmed Roadworks,20.07.24,10:35:39,Saturday,Inter
J21A-J21,67 mph,No comment,64 mph,No comment,20.07.24,10:35:59,Saturday,Inter
J21-J20,70 mph,No comment,70 mph,No comment,20.07.24,10:36:19,Saturday,Inter
J20-J19,70 mph,No comment,69 mph,Unconfirmed Roadworks,20.07.24,10:36:30,Saturday,Inter
J19-J18,52 mph,No comment,50 mph,"Unconfirmed Roadworks, Unconfirmed Roadworks, Unconfirmed Roadworks, Unconfirmed Roadworks",20.07.24,10:36:40,Saturday,Inter
J18-J17,49 mph,No comment,48 mph,Unconfirmed Roadworks,20.07.24,10:36:50,Saturday,Inter
J17-J16,54 mph,No comment,50 mph,Unconfirmed Roadworks,20.07.24,10:37:00,Saturday,Inter
J16-J15A,65 mph,No comment,63 mph,No comment,20.07.24,10:37:20,Saturday,Inter
J15A-J15,69 mph,No comment,65 mph,No comment,20.07.24,10:37:40,Saturday,Inter
J15-J14,69 mph,No comment,68 mph,No comment,20.07.24,10:38:00,Saturday,Inter
J14-J13,66 mph,No comment,63 mph,"Unconfirmed Roadworks, Unconfirmed Roadworks, Unconfirmed Roadworks",20.07.24,10:38:10,Saturday,Inter
J13-J12,38 mph,No comment,49 mph,"Unconfirmed Roadworks, Unconfirmed Roadworks, Unconfirmed Roadworks","Unconfirmed Roadworks, Unconfirmed Roadworks, Unconfirmed Roadworks",10:38:20,Saturday,Inter
J12-J11A,47 mph,No comment,47 mph,"Unconfirmed Roadworks, Unconfirmed Roadworks, Unconfirmed Roadworks, Unconfirmed Roadworks, Unconfirmed Roadworks",20.07.24,10:38:30,Saturday,Inter
J11A-J11,47 mph,Roadworks,46 mph,"Unconfirmed Roadworks, Unconfirmed Roadworks, Roadworks",20.07.24,10:38:30,Saturday,Inter
J11-J10,47 mph,Roadworks,49 mph,"Unconfirmed Roadworks, Roadworks, Unconfirmed Roadworks",20.07.24,10:38:31,Saturday,Inter
J10-J9,59 mph,"Roadworks, Unconfirmed Roadworks",62 mph,Roadworks,20.07.24,10:38:31,Saturday,Inter
J9-J8,63 mph,Unconfirmed Roadworks,65 mph,Roadworks,20.07.24,10:38:31,Saturday,Inter
J8-J7,62 mph,No comment,64 mph,No comment,20.07.24,10:38:51,Saturday,Inter
J7-J6A,61 mph,No comment,64 mph,No comment,20.07.24,10:39:11,Saturday,Inter
J6A-J6,60 mph,No comment,70 mph,No comment,20.07.24,10:39:31,Saturday,Inter
J6-J5,68 mph,No comment,68 mph,No comment,20.07.24,10:39:51,Saturday,Inter
J5-J4,70 mph,No comment,68 mph,No comment,20.07.24,10:40:11,Saturday,Inter
J4-J2,70 mph,No comment,70 mph,No comment,20.07.24,10:40:31,Saturday,Inter
J2-J1,70 mph,No comment,61 mph,No comment,20.07.24,10:40:51,Saturday,Inter
J48-J47,60 mph,Unconfirmed Roadworks,49 mph,Unconfirmed Roadworks,20.07.24,17:30:11,Saturday,Evening
J47-J46,49 mph,Unconfirmed Roadworks,47 mph,Unconfirmed Roadworks,20.07.24,17:30:11,Saturday,Evening
J46-J45,51 mph,Unconfirmed Roadworks,61 mph,Unconfirmed Roadworks,20.07.24,17:30:12,Saturday,Evening
J45-J43|44,69 mph,No comment,68 mph,No comment,20.07.24,17:30:32,Saturday,Evening
J43|44-J42,70 mph,No comment,66 mph,No comment,20.07.24,17:30:52,Saturday,Evening
J42-J41,66 mph,No comment,67 mph,No comment,20.07.24,17:31:12,Saturday,Evening
J41-J40,68 mph,No comment,67 mph,No comment,20.07.24,17:31:32,Saturday,Evening
J40-J39,70 mph,No comment,70 mph,No comment,20.07.24,17:31:52,Saturday,Evening
J39-J38,70 mph,No comment,69 mph,No comment,20.07.24,17:32:12,Saturday,Evening
J38-J37,70 mph,No comment,69 mph,No comment,20.07.24,17:32:32,Saturday,Evening
J37-J36,70 mph,No comment,69 mph,No comment,20.07.24,17:32:52,Saturday,Evening
J36-J35A,70 mph,Unconfirmed Roadworks,68 mph,No comment,20.07.24,17:33:03,Saturday,Evening
J35A-J35,59 mph,No comment,52 mph,No comment,20.07.24,17:33:23,Saturday,Evening
J35-J34,48 mph,"Unconfirmed Roadworks, Unconfirmed Roadworks",49 mph,Unconfirmed Roadworks,20.07.24,17:33:23,Saturday,Evening
J34-J33,48 mph,"Unconfirmed Roadworks, Unconfirmed Roadworks, Unconfirmed Roadworks, Unconfirmed Roadworks",48 mph,"Unconfirmed Roadworks, Unconfirmed Roadworks, Unconfirmed Roadworks",20.07.24,17:33:23,Saturday,Evening
J33-J32,49 mph,"Unconfirmed Roadworks, Unconfirmed Roadworks",54 mph,"Unconfirmed Roadworks, Unconfirmed Roadworks",20.07.24,17:33:23,Saturday,Evening
J32-J31,64 mph,Unconfirmed Roadworks,51 mph,Unconfirmed Roadworks,20.07.24,17:33:23,Saturday,Evening
J31-J30,50 mph,No comment,52 mph,"Unconfirmed Roadworks, Unconfirmed Roadworks, Unconfirmed Roadworks",20.07.24,17:33:33,Saturday,Evening
J30-J29A,48 mph,Unconfirmed Roadworks,50 mph,"Unconfirmed Roadworks, Unconfirmed Roadworks",20.07.24,17:33:33,Saturday,Evening
J29A-J29,49 mph,Unconfirmed Roadworks,48 mph,No comment,20.07.24,17:33:43,Saturday,Evening
J29-J28,48 mph,Unconfirmed Roadworks,50 mph,Unconfirmed Roadworks,20.07.24,17:33:43,Saturday,Evening
J28-J27,62 mph,Unconfirmed Roadworks,65 mph,No comment,20.07.24,17:33:53,Saturday,Evening
J27-J26,70 mph,No comment,69 mph,No comment,20.07.24,17:34:14,Saturday,Evening
J26-J25,68 mph,No comment,63 mph,No comment,20.07.24,17:34:34,Saturday,Evening
J25-J24A,50 mph,Unconfirmed Roadworks,49 mph,No comment,20.07.24,17:34:44,Saturday,Evening
J24A-J24,54 mph,Unconfirmed Roadworks,50 mph,No comment,20.07.24,17:34:54,Saturday,Evening
J24-J23A,68 mph,No comment,58 mph,No comment,20.07.24,17:35:14,Saturday,Evening
J23A-J23,70 mph,Unconfirmed Roadworks,67 mph,No comment,20.07.24,17:35:24,Saturday,Evening
J23-J22,70 mph,No comment,68 mph,No comment,20.07.24,17:35:44,Saturday,Evening
J22-J21A,70 mph,Unconfirmed Roadworks,70 mph,Unconfirmed Roadworks,20.07.24,17:35:44,Saturday,Evening
J21A-J21,68 mph,No comment,66 mph,No comment,20.07.24,17:36:04,Saturday,Evening
J21-J20,70 mph,No comment,70 mph,No comment,20.07.24,17:36:25,Saturday,Evening
J20-J19,70 mph,No comment,68 mph,Unconfirmed Roadworks,20.07.24,17:36:35,Saturday,Evening
J19-J18,54 mph,No comment,49 mph,"Unconfirmed Roadworks, Unconfirmed Roadworks, Unconfirmed Roadworks, Unconfirmed Roadworks",20.07.24,17:36:45,Saturday,Evening
J18-J17,50 mph,No comment,48 mph,Unconfirmed Roadworks,20.07.24,17:36:55,Saturday,Evening
J17-J16,49 mph,No comment,50 mph,Unconfirmed Roadworks,20.07.24,17:37:05,Saturday,Evening
J16-J15A,64 mph,No comment,68 mph,No comment,20.07.24,17:37:25,Saturday,Evening
J15A-J15,70 mph,No comment,66 mph,No comment,20.07.24,17:37:45,Saturday,Evening
J15-J14,69 mph,No comment,70 mph,No comment,20.07.24,17:38:05,Saturday,Evening
J14-J13,67 mph,No comment,59 mph,"Unconfirmed Roadworks, Unconfirmed Roadworks, Unconfirmed Roadworks",20.07.24,17:38:15,Saturday,Evening
J13-J12,48 mph,No comment,49 mph,"Unconfirmed Roadworks, Unconfirmed Roadworks, Unconfirmed Roadworks",20.07.24,17:38:26,Saturday,Evening
J12-J11A,48 mph,No comment,48 mph,"Unconfirmed Roadworks, Unconfirmed Roadworks, Unconfirmed Roadworks, Unconfirmed Roadworks, Unconfirmed Roadworks",20.07.24,17:38:36,Saturday,Evening
J11A-J11,48 mph,Roadworks,46 mph,"Unconfirmed Roadworks, Unconfirmed Roadworks, Roadworks",20.07.24,17:38:36,Saturday,Evening
J11-J10,47 mph,Roadworks,46 mph,"Unconfirmed Roadworks, Roadworks, Unconfirmed Roadworks",20.07.24,17:38:36,Saturday,Evening
J10-J9,58 mph,"Roadworks, Unconfirmed Roadworks",62 mph,Roadworks,20.07.24,17:38:36,Saturday,Evening
J9-J8,66 mph,Unconfirmed Roadworks,62 mph,Roadworks,20.07.24,17:38:36,Saturday,Evening
J8-J7,63 mph,No comment,65 mph,No comment,20.07.24,17:38:56,Saturday,Evening
J7-J6A,65 mph,No comment,65 mph,No comment,20.07.24,17:39:16,Saturday,Evening
J6A-J6,62 mph,No comment,70 mph,No comment,20.07.24,17:39:36,Saturday,Evening
J6-J5,66 mph,No comment,70 mph,No comment,20.07.24,17:39:56,Saturday,Evening
J5-J4,69 mph,No comment,70 mph,No comment,20.07.24,17:40:17,Saturday,Evening
J4-J2,70 mph,No comment,67 mph,No comment,20.07.24,17:40:37,Saturday,Evening
J2-J1,66 mph,No comment,67 mph,No comment,20.07.24,17:40:57,Saturday,Evening
J48-J47,53 mph,Unconfirmed Roadworks,48 mph,Unconfirmed Roadworks,21.07.24,04:30:00,Sunday,Off
J47-J46,49 mph,Unconfirmed Roadworks,48 mph,Unconfirmed Roadworks,21.07.24,04:30:01,Sunday,Off
J46-J45,50 mph,Unconfirmed Roadworks,64 mph,Unconfirmed Roadworks,21.07.24,04:30:01,Sunday,Off
J45-J43|44,61 mph,No comment,67 mph,No comment,21.07.24,04:30:22,Sunday,Off
J43|44-J42,62 mph,No comment,66 mph,Unconfirmed Roadworks,21.07.24,04:30:32,Sunday,Off
J42-J41,59 mph,No comment,66 mph,No comment,21.07.24,04:30:30,Sunday,Off
J41-J40,61 mph,Unconfirmed Roadworks,66 mph,No comment,21.07.24,04:31:02,Sunday,Off
J40-J39,60 mph,Unconfirmed Roadworks,67 mph,No comment,21.07.24,04:31:12,Sunday,Off
J39-J38,68 mph,No comment,64 mph,No comment,21.07.24,04:31:32,Sunday,Off
J38-J37,69 mph,No comment,58 mph,No comment,21.07.24,04:31:52,Sunday,Off
J37-J36,69 mph,No comment,63 mph,No comment,21.07.24,04:32:12,Sunday,Off
J36-J35A,67 mph,Unconfirmed Roadworks,56 mph,No comment,21.07.24,04:32:22,Sunday,Off
J35A-J35,57 mph,No comment,50 mph,No comment,21.07.24,04:32:43,Sunday,Off
J35-J34,52 mph,"Unconfirmed Roadworks, Unconfirmed Roadworks",49 mph,Unconfirmed Roadworks,21.07.24,04:32:43,Sunday,Off
J34-J33,54 mph,"Unconfirmed Roadworks, Unconfirmed Roadworks, Unconfirmed Roadworks, Unconfirmed Roadworks",49 mph,"Unconfirmed Roadworks, Unconfirmed Roadworks, Unconfirmed Roadworks",21.07.24,04:32:43,Sunday,Off
J33-J32,48 mph,"Unconfirmed Roadworks, Unconfirmed Roadworks",55 mph,"Unconfirmed Roadworks, Unconfirmed Roadworks",21.07.24,04:32:43,Sunday,Off
J32-J31,60 mph,Unconfirmed Roadworks,54 mph,Unconfirmed Roadworks,21.07.24,04:32:43,Sunday,Off
J31-J30,52 mph,No comment,51 mph,"Unconfirmed Roadworks, Unconfirmed Roadworks, Unconfirmed Roadworks",21.07.24,04:32:53,Sunday,Off
J30-J29A,50 mph,Unconfirmed Roadworks,50 mph,"Unconfirmed Roadworks, Unconfirmed Roadworks",21.07.24,04:32:53,Sunday,Off
J29A-J29,51 mph,Unconfirmed Roadworks,50 mph,No comment,21.07.24,04:33:03,Sunday,Off
J29-J28,52 mph,Unconfirmed Roadworks,51 mph,Unconfirmed Roadworks,21.07.24,04:33:03,Sunday,Off
J28-J27,57 mph,Unconfirmed Roadworks,66 mph,No comment,21.07.24,04:33:13,Sunday,Off
J27-J26,54 mph,No comment,68 mph,No comment,21.07.24,04:33:33,Sunday,Off
J26-J25,56 mph,No comment,60 mph,No comment,21.07.24,04:33:53,Sunday,Off
J25-J24A,52 mph,Unconfirmed Roadworks,49 mph,No comment,21.07.24,04:34:04,Sunday,Off
